Date/Time,Year,Month,Mean Max Temp (C),Mean Max Temp Flag,Mean Min Temp (C),Mean Min Temp Flag,Mean Temp (C),Mean Temp Flag,Extr Max Temp (C),Extr Max Temp Flag,Extr Min Temp (C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1892-01,1892,1,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1892-02,1892,2,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1892-03,1892,3,-3.8,,-19.9,,-11.9,,3.9,S,-39.4,,0,,,M,,M,,,,,,
1892-04,1892,4,3.4,,-7.1,,-1.9,,16.7,,-19.4,,0,,17.8,,17.8,,,,,,,
1892-05,1892,5,13.1,,-1.3,,5.9,,24.4,,-10.6,,20.8,,0,,20.8,,,,,,,
1892-06,1892,6,20.8,,6.5,,13.7,,28.3,,-1.1,,34,,0,,34,,,,,,,
1892-07,1892,7,26.3,,10,,18.2,,36.1,,4.4,,47.2,,0,,47.2,,,,,,,
1892-08,1892,8,24.7,,9.2,,17,,33.9,,3.3,,85.3,,0,,85.3,,,,,,,
1892-09,1892,9,21.1,,5.2,,13.2,,30,,-4.4,,28.4,,0,,28.4,,,,,,,
1892-10,1892,10,15.1,,-1.1,,7,,27.8,,-10.6,,2.5,,0,,2.5,,,,,,,
1892-11,1892,11,-2.6,,-14.1,,-8.4,,13.9,,-33.9,,11.4,,30,,41.4,,,,,,,
1892-12,1892,12,-12.9,,-24.5,,-18.7,,,M,,M,0,,0,T,,M,,,,,,
1893-01,1893,1,-14.5,,-24.2,,-19.4,,4.4,,-48.9,,0,,40.6,,40.6,,,,,,,
1893-02,1893,2,-19.5,,-29.8,,-24.7,,-1.7,,-50,,0,,,M,,M,,,,,,
1893-03,1893,3,-8.6,,-26,,-17.3,,2.8,S,-38.9,S,0,,,M,,M,,,,,,
1893-04,1893,4,-1.1,,-15.6,,-8.4,,6.1,,-28.3,,0,,,M,,M,,,,,,
1893-05,1893,5,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1893-06,1893,6,22.1,,3.6,,12.9,,,M,,M,67.3,,0,,67.3,,,,,,,
1893-07,1893,7,24.2,,8.1,,16.2,,,M,,M,77.5,,0,,77.5,,,,,,,
1893-08,1893,8,26,,7.7,,16.9,,,M,,M,69.9,,0,,69.9,,,,,,,
1893-09,1893,9,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1893-10,1893,10,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
1893-11,1893,11,-1.2,,-17.1,,-9.2,,,M,,M,0,,10.2,,10.2,,,,,,,
